"","Probe_ID","Gene_Symbol","Ensembl_Gene_ID","GSM60914","GSM60936","GSM60937","GSM60938","GSM60939","GSM60940","GSM60941","GSM60942","GSM60943","GSM60944","GSM60945","GSM60946","GSM60947","GSM60948","GSM60949","GSM60950","GSM60951","GSM60952","GSM60953","GSM60954","GSM60955","GSM60956","GSM60957","GSM61474"
"1",1,"RPS16","ENSG00000105193","0.15499095","0.166940999","-0.134072054","-0.007118785","0.046636628",NA,"-0.595002995","-0.364590095","-1.19661398","0.29774839","-0.192818635","0.073741453","0.271220749","-0.049073746","0.068843931","0.216830217","0.023069814","-0.25217171","-0.045710508","0.072633956","0.055535615","0.015805258","-0.126742678",0.852263754
"2",2,"RPS16","ENSG00000105193","0.49426419","0.119614427","0.083958754","-0.213885883","0.314731245","-1.349584438","-0.439979958","-0.183234229","-0.925284747","0.09089943","-0.175608066","0.127453464","0.169808313","-0.006896139","-0.000395205","0.176538698","-0.164685326","-0.224889091","-0.002169371","0.205977518","0.118087648","-0.163505087","0.053191488",0.789111242
"3",3,"CKM","ENSG00000104879","0.054223258","0.128256341","-0.047403306","-0.076546617","-0.449509082","0.572866309","1.396808883","1.125283485","1.626614547","0.04079248","-0.264683604","0.240314329","1.229857129","0.255140174","-0.25049657","0.107733004","-0.026883294","-0.421947955",NA,NA,"0.328768226","0.002398053","0.145144174",NA
"4",4,"CKM","ENSG00000104879","-0.066632351","-0.00784477","0.090013793","-0.047871151","0.129387544","1.981079138","1.261197747","1.560184243","2.006198041","-0.152702516","-0.019199397","0.64279643","0.712032898","0.01866013","-0.192694255","-0.127806239","-0.061041099","-0.087814117",NA,NA,"0.3887213","0.036532299","-0.07271957",0.615869095
"5",5,"GAPD","5","-0.510910293","0.028571525","0.198795287","0.258611279","0.093844686","0.374395515","0.4278377","0.468521368","0.443764328","0.130027974","0.139109712","0.164431185","0.619156247","0.19883983","0.077733166","-0.080093808","-0.300904083","-0.238835303","-0.038213577","0.051568087","0.174436311","-0.202866708","-0.053696875",0.981844959
"6",6,"GAPD","6","-0.319862921","-0.119889623","0.15834814","0.394919284","0.173486837","0.122778639","0.585955963","0.46393639","0.482395709","0.004871899","0.177447654","0.046798188","0.563193841","0.016345599","0.07074332","0.132289448","-0.239776746","-0.10489143","-0.167017569","-0.000437035","0.094290627","-0.197848352","-0.032674658",0.966217395
"7",7,"MYL2","ENSG00000111245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.067661708","0.388342633","-0.597298095",NA,"0.017463906",NA,NA,"-0.040112264","0.780781826",NA,0.964523282
"8",8,"MYL2","ENSG00000111245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.29716019","0.440787071",NA,"0.249504267",NA,NA,"-0.007061664","0.182738687","0.134604466",1.043681747
"9",9,"TCAP","ENSG00000173991","-1.146973594","-0.959169074","-0.910501849","-0.590822359","-0.907566393","0.916103774","0.780454288","0.97785121","1.262745028","-0.670133416","-0.2908236","0.136195448","1.096507568","0.109533333","-0.587136185","-0.555673014","-0.402516831","-0.171307385",NA,NA,"-0.290982997","0.37977456","0.506077928",1.469049695
"10",10,"TCAP","ENSG00000173991","-0.784230521","-0.937032519","-0.799833279","-0.984871206","-0.901700708","0.806295441","1.125380426","1.346617346","1.151966753","-0.391721637","-0.334009932","0.480055878","1.452878612","0.004928352","-0.358656833","-0.519324178","-0.424848755","-0.396314965",NA,NA,"-0.46584187","0.350314176","0.237239827",1.124405705
