Gene Symbol,GSM1412708,GSM1412709,GSM1412714,GSM1412718,GSM1412716,GSM1412698,GSM1412717,GSM1412720,GSM1412715,GSM1412710,GSM1412699,GSM1412713,GSM1412721,GSM1412706,GSM1412719,GSM1412700,GSM1412701,GSM1412702,GSM1412705,GSM1412711,GSM1412704,GSM1412712,GSM1412703,GSM1412707
TSPAN6,372,317,390,359,459,351,292,336,343,364,295,348,342,356,238,293,322,267,319,358,414,579,376,267
TNMD,7,6,10,13,15,6,21,29,17,5,9,3,12,5,23,7,6,9,9,15,4,8,36,2
DPM1,1602,1685,1740,1660,1996,1517,1796,801,1433,1582,1644,1255,1216,1178,1248,1575,1795,1521,1317,1352,1142,2692,1399,1389
SCYL3,737,619,810,727,659,611,648,644,669,647,687,629,726,831,587,642,648,512,770,664,733,1249,581,599
C1orf112,253,192,376,301,286,228,234,248,286,219,238,234,250,311,213,205,252,186,308,225,288,450,247,237
FGR,96,291,89,98,121,133,117,182,184,67,105,146,130,150,131,79,156,78,284,119,173,264,287,65
CFH,1322,1262,1450,1415,1094,2214,3102,5862,1540,1026,744,864,2340,2488,1976,1286,906,580,2050,886,1286,3569,3374,950
FUCA2,422,364,348,367,346,485,495,505,448,373,329,374,437,352,599,307,405,272,474,261,407,907,575,397
GCLC,811,804,1260,768,869,1127,891,1373,958,1153,1478,895,950,758,1152,973,1056,896,1054,1147,1062,1741,1026,1194
NFYA,711,749,1060,751,582,865,712,831,651,938,734,894,716,878,931,733,1014,527,1027,1205,884,1798,788,767
STPG1,128,81,166,139,188,109,132,179,188,103,83,142,109,122,58,124,77,69,91,83,139,233,160,106
NIPAL3,958,674,840,655,1289,1199,1068,1198,1055,895,600,1162,1090,679,535,841,974,660,700,601,973,1878,1472,628
LAS1L,1468,1420,2160,2216,1770,1682,1922,1880,2632,1541,2046,2252,2378,1842,1956,2169,2048,1921,1654,1944,1694,3498,2236,1726
ENPP4,4185,3171,3338,3561,5333,3741,3985,5066,2503,4385,2985,3109,3756,3895,2633,4238,3704,2244,2646,3614,3378,7385,3060,1837
SEMA3F,470,520,700,508,584,627,794,945,764,850,643,761,624,688,591,576,724,520,930,579,534,1537,1006,481
CFTR,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
ANKIB1,1299,1886,1978,1738,1612,1493,1399,1591,1239,1891,1860,1387,1378,1709,1661,1592,1729,1247,1993,1864,1630,3551,1787,1742
CYP51A1,710,973,748,778,494,514,861,428,555,682,308,323,254,630,704,485,570,354,510,496,578,849,505,703
KRIT1,1620,1717,2151,2066,1920,1792,1543,1804,1547,1866,2120,1821,1811,1871,1420,1876,1899,1573,1848,1913,1708,3074,1664,1970
RAD52,634,874,1463,1418,1046,1190,1588,1663,1487,938,1585,1998,1418,1181,942,1427,1505,1615,1565,1366,1351,3138,1097,1156
MYH16,2,3,17,11,10,10,4,6,12,3,7,8,4,8,15,12,12,12,10,6,5,17,11,6
BAD,1165,986,1313,1220,2121,1015,1430,748,1135,1125,1175,967,961,1117,798,1073,1197,988,1191,1012,979,2154,845,1093
LAP3,3151,3645,3109,2685,3716,3617,3654,3217,3333,3344,3137,3215,3379,2708,3524,3386,3816,2939,3825,2544,2936,5658,3527,2933
CD99,5187,7177,9368,7575,18047,8345,14634,4797,8054,8383,11886,10221,6858,6360,7746,9996,10696,7217,10460,12453,5086,15246,6310,7052
HS3ST1,24,28,22,13,13,27,31,18,14,6,13,36,27,9,22,15,19,14,21,11,14,20,46,16
AOC1,0,0,0,0,1,1,5,0,3,0,1,0,1,0,3,0,0,0,2,0,0,2,0,0
WNT16,1,0,0,0,1,1,3,1,2,1,1,1,0,2,0,0,1,0,0,1,0,0,0,2
HECW1,48,41,47,158,115,162,98,102,23,125,103,45,179,98,171,103,123,85,156,77,185,231,82,52
MAD1L1,1106,839,917,1193,1143,980,1228,1036,1253,823,911,1080,1131,936,1085,1117,1292,1241,1067,916,826,2039,736,775
LASP1,1712,2304,3019,1679,2463,2405,2539,2526,1539,2132,1550,2349,1796,1683,3119,1699,2143,1436,3523,2117,2063,4940,3126,1467
SNX11,699,767,733,625,729,647,735,552,832,768,623,709,633,590,737,545,718,645,702,543,545,1210,626,646
TMEM176A,164,110,181,85,212,214,252,197,281,76,99,91,112,85,247,59,83,64,238,151,63,350,153,124
M6PR,2754,3206,3282,3236,3146,2670,3194,3027,3395,2654,2744,2906,2926,2782,3670,2906,2768,2492,3338,2696,2589,5310,2958,3088
KLHL13,304,348,297,333,346,320,331,379,300,344,250,300,308,329,330,284,293,252,429,291,284,690,369,331
CYP26B1,69,217,416,181,186,159,1497,895,289,130,207,249,241,246,1528,230,242,89,332,262,184,338,530,101
ICA1,305,140,211,269,334,320,234,227,232,223,219,362,288,256,240,312,407,208,334,234,325,345,413,166
DBNDD1,1489,4691,6516,3686,6475,4914,4909,2586,3565,2883,4551,2767,1538,2982,1351,7240,4821,3024,3301,3601,1503,11702,1152,2007
ALS2,2383,2353,2980,2921,2399,2656,2445,2625,1997,3147,3054,2749,2505,3103,2161,3304,3266,2461,2987,2828,2607,5605,2652,2579
CASP10,288,366,638,637,543,683,638,810,580,674,523,862,698,804,734,642,848,473,940,578,856,1316,1140,352
CFLAR,6756,10212,18054,19294,14192,20078,16486,18914,20324,21229,20545,16834,19151,19833,13893,14361,17387,13280,14235,16412,22064,37050,23946,19133
TFPI,769,1110,966,720,888,1225,795,1276,1001,970,474,757,913,560,1885,602,699,494,1031,709,838,1832,1434,746
NDUFAF7,1283,1434,1651,1492,1322,1534,1375,1406,1297,1392,1591,1379,1253,1395,1119,1219,1514,1154,1165,1123,1346,2816,1418,1182
RBM5,6251,7043,9628,10482,8563,8215,8128,9629,10412,8150,9506,10067,10520,9188,7016,9644,9833,8899,9677,10483,8952,15910,9564,7197
MTMR7,97,115,102,114,137,94,88,83,88,83,92,85,74,92,113,98,62,83,96,86,81,136,109,113
SLC7A2,14893,23910,21989,27626,18379,16603,15122,23449,18929,23086,19526,21408,19395,29540,16200,22720,18908,19357,28558,30352,21493,46949,19216,16946
ARF5,4348,4665,4236,4377,4974,4404,5211,3948,5630,4069,4240,4024,3676,3690,4185,3922,4182,4123,4446,4156,3592,8196,4197,3868
SARM1,186,206,402,275,362,404,379,405,323,350,352,344,322,314,310,312,350,268,453,352,328,836,437,316
POLDIP2,9144,9205,9214,9099,8792,9405,9728,8060,9418,9030,9724,8141,8240,8332,7339,8436,8953,8545,7794,7440,7707,14962,6724,8068
PLXND1,1611,2125,3020,2482,3014,4886,3975,4674,2681,4024,3019,4694,3763,3317,4295,2582,3795,2395,6026,2822,3530,8329,7046,3026
AK2,6277,6002,5543,7141,7319,5876,6878,5632,7104,6802,6540,6552,7342,6178,5320,6326,6901,5894,5758,5420,5889,12039,5385,4588
CD38,2724,3696,4205,5898,7874,3956,4140,2192,1941,4966,5378,4216,5467,3553,1510,5735,5215,4362,4051,4216,3208,7462,2133,4130
FKBP4,4608,7555,6591,3958,3677,5022,5718,5083,5080,5820,6447,4080,3678,3672,7119,3189,3804,3979,5217,5038,3992,9501,2957,8005
KDM1A,2630,3046,3521,3548,3485,2910,3028,2757,3304,3292,3469,3194,3004,3090,3017,3516,3535,3197,3401,3111,2933,5573,2835,3137
RBM6,5663,5915,9010,8107,7368,6742,6736,8816,8054,6610,8469,8638,9000,8406,6908,8092,9228,7572,8047,9494,7709,15929,8958,5933
CAMKK1,128,211,233,211,280,315,231,176,330,239,161,210,174,178,978,121,258,171,187,226,156,456,308,414
RECQL,1736,1785,1797,1604,1992,1608,1572,1592,1602,1512,1494,1522,1352,1350,1918,1672,1716,1092,1676,1470,1488,3091,1914,1702
VPS50,1472,1314,1672,1397,1467,1460,1570,1633,1241,1533,1529,1264,1211,1333,1149,1413,1602,1143,1479,1376,1298,2857,1138,1402
HSPB6,98638,128961,135361,85637,93504,157028,272146,168142,220596,135275,162516,92156,103114,76226,165232,53795,102101,111755,137440,118325,113399,313660,166534,235286
ARHGAP33,261,332,543,582,473,423,595,648,753,339,450,614,541,520,589,491,420,480,347,533,446,1055,761,480
NDUFAB1,8875,8092,8854,8802,11769,10563,10766,8838,10729,8990,9520,7760,9304,7879,5994,7621,8727,8685,7182,8345,8142,17067,7973,7708
