"","sampletype1","sampletype2"
"GSM60914","FSHMD1A deltoid muscle n°1(a)","normal deltoid control"
"GSM60936","FSHMD1A deltoid muscle n°1(b)","normal deltoid muscle "
"GSM60937","FSHMD1A deltoid muscle n°2(a)","normal deltoid control"
"GSM60938","FSHMD1A deltoid muscle n°2(b)","normal deltoid control"
"GSM60939","FSHMD1A deltoid muscle n°2(c)","normal deltoid control"
"GSM60940","FSHMD1A deltoid muscle n°3(a)","normal deltoid control"
"GSM60941","FSHMD1A deltoid muscle n°3(b)","normal deltoid control"
"GSM60942","FSHMD1A deltoid muscle n°4(a)","normal deltoid control"
"GSM60943","FSHMD1A deltoid muscle n°4(b)","normal deltoid control"
"GSM60944","FSHMD1A deltoid muscle n°5(a)","normal deltoid control"
"GSM60945","FSHMD1A deltoid muscle n°5(b)","normal deltoid control"
"GSM60946","FSHMD1A deltoid muscle n°6(a)","normal deltoid control"
"GSM60947","FSHMD1A deltoid muscle n°6(b)","normal deltoid control"
"GSM60948","FSHMD1A deltoid muscle n°7(a)","normal deltoid control"
"GSM60949","FSHMD1A deltoid muscle n°7(b)","normal deltoid control"
"GSM60950","FSHMD1A deltoid muscle n°8(a)","normal deltoid control"
"GSM60951","FSHMD1A deltoid muscle n°8(b)","normal deltoid control"
"GSM60952","FSHMD1A deltoid muscle n°8(c)","normal deltoid control"
"GSM60953","FSHMD1A deltoid muscle n°9(a)","normal deltoid control"
"GSM60954","FSHMD1A deltoid muscle n°9(b)","normal deltoid control"
"GSM60955","FSHMD1A deltoid muscle n°10","normal deltoid control"
"GSM60956","FSHMD1A deltoid muscle n°11(a)","normal deltoid control"
"GSM60957","FSHMD1A deltoid muscle n°11(b)","normal deltoid control"
"GSM61474","FSHMD1A deltoid muscle n°11(c)","normal deltoid control"
